UBIGEO,VIVIENDA,Estatal,EquipoEdu,CalidadEdu,Edad
230105,166,1,3,4,14
230105,185,1,4,3,12
240101,52,1,3,3,14
240101,52,1,3,3,10
240101,127,1,3,4,15
240101,127,1,2,3,9
240101,145,1,3,3,15
240101,145,1,3,3,12
240101,145,1,3,3,10
240101,127,2,4,3,16
240101,127,2,3,3,14
240301,17,1,3,3,10
240301,17,1,3,3,7
240301,26,1,3,3,12
240301,26,1,3,3,8
240301,34,1,3,3,13
240301,34,1,3,3,9
240301,50,1,3,4,16
240301,50,1,3,4,12
240301,9,1,3,3,13
250107,4,1,2,3,7
250107,23,1,3,3,8
250107,88,1,3,2,14
250107,88,1,3,3,13
250107,88,1,3,3,12
250107,88,1,2,3,12
250107,88,1,3,3,10
250107,107,1,3,3,6
250107,94,1,3,4,15
250107,94,1,3,3,9
250107,94,1,3,3,7
250105,13,1,3,3,16
250105,13,1,3,3,11
250105,33,1,3,3,15
250105,44,1,3,3,12
250105,44,1,3,3,10
250101,3,1,3,3,15
250101,16,1,3,2,12
250101,108,1,3,3,14
250105,38,1,3,3,11
250105,87,1,4,4,12
250301,20,1,2,3,15
250301,20,1,2,3,8
250301,28,1,4,4,11
250301,28,1,4,4,6
250301,37,1,3,2,7
250301,45,1,3,3,17
250301,45,1,3,3,12
250301,60,1,3,3,12
250301,5,1,1,3,14
250301,28,1,3,3,6
250301,52,1,3,2,11
250301,75,1,3,4,13
250301,75,1,3,3,10
250301,97,1,3,3,7
250202,1,1,2,3,6
250202,5,1,2,3,9
250202,5,1,2,3,7
250202,38,1,2,3,11
250202,38,1,2,3,6
10520,1,1,3,3,14
10520,1,1,3,3,11
10520,1,1,3,3,8
10520,4,1,3,3,6
10520,128,1,3,3,16
10520,128,1,3,3,14
10520,137,1,3,3,10
21801,38,2,2,3,9
20801,55,2,3,3,14
20103,90,1,3,3,15
20103,90,1,2,3,14
20103,108,1,3,3,11
20103,112,1,3,4,7
20103,113,1,3,3,10
20103,113,1,3,3,8
21012,106,1,3,3,16
21012,106,1,3,3,15
21012,106,1,3,4,12
21012,106,1,3,3,11
21012,106,1,3,3,9
30213,95,1,3,3,15
30213,97,1,3,3,15
30213,97,1,3,3,13
30213,97,1,3,2,9
30213,98,1,3,3,17
30213,257,1,3,3,16
30213,257,1,3,3,9
30213,259,1,3,3,7
40123,12,2,4,3,12
40123,55,2,4,4,14
40123,55,2,3,2,11
40128,30,1,5,3,10
40128,46,2,2,3,15
40128,91,2,3,3,17
40128,91,1,3,3,12
50101,32,1,2,3,7
50509,53,1,3,3,10
50509,54,1,3,3,10
50509,56,1,3,3,16
50509,56,1,3,2,11
60108,100,2,3,3,15
60108,100,2,3,3,11
60108,100,2,3,3,7
60401,89,1,3,4,16
60401,90,1,3,2,15
60401,240,2,3,4,16
