UBIGEO,VIVIENDA,AguaAcceso,Electricidad
70102,90,1,1
70102,105,1,1
70102,118,1,1
70102,133,1,1
70102,56,1,1
70102,78,1,1
70102,100,1,1
70102,123,1,1
70102,167,1,1
70102,232,1,1
70102,19,1,1
70102,35,1,1
70102,49,1,1
70102,95,1,1
70102,122,1,1
70102,17,1,1
70102,61,1,1
70102,140,1,1
70102,158,1,1
70101,16,1,1
70101,50,1,1
70101,69,1,1
70101,103,1,1
70101,121,1,1
70101,155,1,1
70101,72,1,1
70101,88,1,1
70101,107,1,1
70101,127,1,1
70101,10,1,1
70101,61,1,1
70101,72,1,1
70101,102,1,1
70101,111,1,1
70101,52,1,1
70101,85,1,1
70101,121,1,1
70101,136,1,1
70101,1,1,1
70101,22,1,1
70101,22,1,1
70101,59,1,1
70101,20,1,1
70101,41,1,1
70101,82,1,1
70101,104,1,1
70101,144,1,1
70101,183,1,1
70101,204,1,1
70101,13,1,1
70101,30,1,1
70101,62,1,1
70101,91,1,1
70101,10,1,0
70101,31,1,1
70101,53,1,1
70101,76,1,1
70101,97,1,1
70101,118,1,1
70101,20,1,1
70101,90,1,1
70101,107,1,1
70101,140,1,1
70101,157,1,1
70104,45,1,1
70104,75,1,1
70104,116,1,1
70104,131,1,1
70104,17,1,1
70104,76,1,1
70104,116,1,1
70104,135,1,1
70104,75,1,1
70104,168,1,1
80104,70,1,1
80104,95,1,1
80105,7,1,1
80105,28,1,1
80105,38,2,1
80105,48,1,1
80105,59,1,1
80105,9,1,1
80105,37,1,1
80105,51,1,1
80105,64,1,1
80105,77,1,1
80105,117,1,1
80105,30,1,1
80105,106,1,1
80105,128,1,1
80105,44,1,1
80105,71,1,1
80105,99,1,1
80105,152,1,1
80105,179,1,1
80108,115,1,1
80108,173,1,1
80108,192,1,1
80108,211,1,1
80106,39,1,1
80106,66,1,1
80106,79,1,1
80106,93,1,1
80106,18,1,1
80106,89,1,1
80106,142,1,1
80106,160,1,1
80106,9,1,1
80106,26,1,1
80106,61,1,1
80106,16,1,1
80106,78,1,1
80106,118,1,1
80101,2,1,1
80101,10,1,1
80101,49,1,1
80101,72,1,1
80901,5,1,1
80901,33,1,1
80901,45,1,1
80901,69,1,1
80901,82,1,1
80901,106,1,1
80901,14,1,1
80901,38,1,1
80901,62,1,1
80901,86,1,0
80901,134,1,1
80901,158,1,1
81302,17,2,1
81302,27,1,1
81302,61,1,1
81302,73,1,1
81302,95,1,1
80801,59,1,1
80801,78,1,1
80801,14,1,1
80801,36,1,1
80801,57,1,1
80801,70,1,1
80801,80,1,1
80801,92,1,1
80902,33,1,1
80902,35,1,1
80902,55,1,1
80902,57,1,1
80902,58,1,1
80902,60,1,1
80401,80,1,1
80401,81,1,1
80401,162,1,1
80401,166,1,1
80401,167,1,1
80401,171,1,1
80401,172,1,1
80407,59,1,1
80407,63,1,1
80407,163,1,1
80407,165,1,1
80407,167,1,1
80407,169,1,1
80407,173,2,0
80302,24,1,1
80302,28,1,1
80302,30,1,1
80302,88,1,1
80302,91,1,1
80302,93,1,1
80302,94,1,1
81005,1,1,1
81005,21,1,1
81005,33,1,1
81005,52,1,1
81005,62,1,1
81005,79,1,1
81005,91,1,0
81007,32,1,1
81007,34,1,1
81007,35,1,1
81007,129,1,1
81007,133,1,1
81007,135,1,1
81006,6,1,1
81006,7,1,1
81006,10,1,1
81006,78,1,1
81006,80,1,1
81006,82,1,1
81006,84,1,1
81006,85,1,1
81102,34,1,1
81102,35,1,1
81102,36,1,1
81102,37,1,1
81102,174,1,1
81102,175,1,1
81102,183,1,1
81102,189,1,1
81210,19,1,1
81210,20,1,1
81210,21,1,1
81210,107,1,1
81210,108,1,1
81210,111,1,1
81212,25,1,1
81212,28,1,1
81212,31,1,1
81212,159,1,1
81212,160,1,1
81212,166,1,1
81206,34,1,0
81206,36,1,0
81206,159,1,1
81206,171,2,0
80801,2,2,1
80801,4,2,1
80801,6,2,1
80801,7,2,1
80801,83,2,1
80801,86,2,1
80801,88,2,1
80801,89,2,1
80501,1,1,1
80501,5,1,1
80501,67,1,1
80501,68,1,1
80501,70,1,1
80501,75,1,1
80501,76,1,0
90101,14,1,1
90101,30,1,1
90101,46,1,1
90101,62,1,1
90101,138,1,1
90101,93,1,1
90101,132,1,1
90101,145,1,1
90101,166,1,1
90101,10,1,1
90101,26,1,1
90101,60,1,1
90101,75,1,1
90101,107,1,1
90101,122,1,1
90118,26,1,1
90118,72,1,1
90118,86,1,1
90118,102,1,1
90709,11,1,1
90709,20,1,1
90709,53,1,1
90709,75,1,1
90706,6,2,1
90706,34,1,1
90706,48,1,1
90706,89,2,1
90706,114,2,1
90705,39,1,1
90705,63,1,1
90705,74,1,1
90705,87,1,1
90703,34,1,1
90703,360,1,1
90703,366,1,1
90703,367,1,1
90703,368,1,1
90718,5,1,1
90718,129,1,0
90718,130,1,1
90718,138,1,1
90718,139,1,0
90718,199,2,1
90718,203,2,1
90718,205,1,1
90718,206,2,1
90718,214,2,1
90718,215,2,1
90718,217,1,1
90205,11,1,1
90205,12,1,1
90205,32,1,1
90205,34,1,1
90205,35,1,1
90205,36,1,1
90205,40,1,1
90116,19,1,1
90116,24,1,1
90116,136,1,1
90116,139,1,1
90117,38,1,1
90117,41,1,1
90117,84,1,1
90117,90,1,1
90117,92,1,1
90117,96,1,1
90117,98,1,1
90117,99,1,1
90103,20,1,1
90103,26,1,0
90103,67,1,1
90103,68,1,1
90103,69,1,1
90103,70,1,1
90103,72,1,1
90103,73,1,1
90103,49,2,1
90103,50,2,1
90103,53,2,1
90103,157,2,1
90103,164,2,1
90103,165,2,1
90103,167,2,1
90103,169,2,1
90103,26,1,1
90103,27,1,1
90103,108,2,1
90103,109,2,1
90103,119,2,1
90402,22,1,1
90402,23,2,1
90402,215,1,1
90402,216,1,1
90402,217,1,1
90401,5,1,1
90401,11,1,1
90401,16,1,1
90401,35,1,1
90401,54,1,1
90401,62,1,1
90306,3,1,1
90306,17,1,1
90306,25,1,1
90306,27,1,1
90306,274,1,1
90306,276,1,1
90306,297,1,1
90306,304,1,1
90610,62,1,1
90610,64,1,1
90610,171,1,1
90610,172,1,1
90610,183,1,1
90610,184,1,1
90610,185,1,1
90610,186,1,1
90608,28,1,1
90608,30,1,1
90608,31,1,0
90608,75,1,0
90608,76,1,0
90607,135,1,0
90616,144,1,1
90616,147,1,1
90616,148,2,1
